"","n","allee","allee.f","initial.slope","slope.after.thresh"
"94",132,TRUE,"with Allee effect",0.63132741564922,4.7164232393624
"95",133,FALSE,"without Allee effect",1.36206132685711,2.0060153416256
"96",134,TRUE,"with Allee effect",0.777342793568577,1.9626592763006
"97",136,TRUE,"with Allee effect",0.571485453169077,2.72004647492603
"98",138,TRUE,"with Allee effect",0.806918369987958,2.71868790736008
"99",143,FALSE,"without Allee effect",1.07060989764766,1.57270664036449
"100",144,TRUE,"with Allee effect",0.0479306394806699,5.6374804181862
"101",145,FALSE,"without Allee effect",1.31084185383366,1.7317043133125
"102",146,TRUE,"with Allee effect",1.18862615936121,2.07016119872682
"103",148,TRUE,"with Allee effect",0.928946046793067,2.62288452201402
"104",150,TRUE,"with Allee effect",0.678757859277496,3.16400735045328
"105",151,FALSE,"without Allee effect",1.28066351204113,1.78981419357876
"106",152,TRUE,"with Allee effect",0.720114581670025,2.3243578144177
"107",153,FALSE,"without Allee effect",1.0186992351636,1.64074011485316
"108",154,TRUE,"with Allee effect",0.531737843411167,2.23519361283616
"109",155,FALSE,"without Allee effect",1.34007804380032,2.00011689035635
"110",156,TRUE,"with Allee effect",0.894993656574336,2.13970994994894
"111",158,TRUE,"with Allee effect",1.02328313532902,2.81792413581172
"112",160,TRUE,"with Allee effect",0.00862007578251657,7.30142862393422
"113",161,FALSE,"without Allee effect",1.15471029766156,1.75823931068206
"114",162,TRUE,"with Allee effect",0.440572591385926,1.6866382390984
"115",164,TRUE,"with Allee effect",0.887328952694303,2.72798397062585
"116",166,TRUE,"with Allee effect",1.04487448088365,2.24398035780995
"117",167,FALSE,"without Allee effect",0.976052331266257,2.0891335748494
"118",168,TRUE,"with Allee effect",0.410270971767427,2.72119396905631
"119",169,FALSE,"without Allee effect",1.41595704915518,0.533492375211693
"120",170,TRUE,"with Allee effect",0.181298747420229,3.33245853046506
"121",171,FALSE,"without Allee effect",0.982123710422872,1.67527415209964
"122",172,TRUE,"with Allee effect",0.799154071631773,1.75513440885541
"123",173,FALSE,"without Allee effect",1.1740690590601,1.55881329415695
"124",174,TRUE,"with Allee effect",0.409041193234946,6.99955860778484
"125",176,TRUE,"with Allee effect",0.811721744436497,3.65640684223035
"126",177,FALSE,"without Allee effect",1.0497944373015,0.0656347738604048
"127",178,TRUE,"with Allee effect",0.331970742744644,0.754287646246466
"128",180,TRUE,"with Allee effect",0.878135358698092,2.7654351787332
"129",182,TRUE,"with Allee effect",0.778610815375005,2.71638685681391
"130",184,TRUE,"with Allee effect",0.72335323666051,3.64381999693597
"131",186,TRUE,"with Allee effect",0.952231364142382,2.61751097450572
"132",190,TRUE,"with Allee effect",0.718363607681939,3.17467251072031
"133",191,FALSE,"without Allee effect",0.936089031515423,1.91636889329262
"134",192,TRUE,"with Allee effect",0.867184515874645,2.4831866192553
"135",194,TRUE,"with Allee effect",0.793081470149322,3.0596888212808
"136",195,FALSE,"without Allee effect",0.691877704637657,1.82811444131617
"137",196,TRUE,"with Allee effect",0.833314464337758,2.75114244466616
"138",197,FALSE,"without Allee effect",1.03605165662163,2.3076660224517
"139",198,TRUE,"with Allee effect",1.14926361722154,2.4080956765369
"140",200,TRUE,"with Allee effect",0.634314678203964,2.48223663133672
"141",201,FALSE,"without Allee effect",1.19522603489696,1.79145210492731
"142",202,TRUE,"with Allee effect",0.623142317642162,2.66236740521142
"143",203,FALSE,"without Allee effect",1.20762955342604,1.94939602500467
"144",204,TRUE,"with Allee effect",0.637886468906985,3.22636920669206
"145",206,TRUE,"with Allee effect",0.956479750126605,2.18080572032795
"146",207,FALSE,"without Allee effect",1.02501640378836,2.51332368002371
"147",208,TRUE,"with Allee effect",0.398907868374619,3.89451030740886
"148",210,TRUE,"with Allee effect",0.823675473686693,3.43682539415772
"149",212,TRUE,"with Allee effect",0.80814081423997,2.43657343763917
"150",214,TRUE,"with Allee effect",0.657786072554881,3.77661362115316
"151",216,TRUE,"with Allee effect",0.918917629168258,2.80632362042261
"152",217,FALSE,"without Allee effect",0.760949516116547,1.66168456534441
"153",218,TRUE,"with Allee effect",0.467275872735155,1.68950992848867
"154",219,FALSE,"without Allee effect",1.09078824366343,1.97069325348428
"155",220,TRUE,"with Allee effect",0.802397156749066,2.50398770254496
"156",221,FALSE,"without Allee effect",0.915328392890325,1.96053122270572
"157",222,TRUE,"with Allee effect",1.08038301150972,2.46427260000219
"158",223,FALSE,"without Allee effect",0.754304403637749,1.7065106255134
"159",224,TRUE,"with Allee effect",0.260140906393434,3.29429280181137
"160",225,FALSE,"without Allee effect",1.04331898840716,1.8221764745002
"161",226,TRUE,"with Allee effect",0.737639912011926,2.09364625641472
